Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
BTC,2019-03-19T22:59:59.000Z,3996.037130764,3970.2819870686,4020.0070715102,3949.8929212251
BTC,2019-03-20T23:00:00.000Z,4027.7873954939,3996.0370554516,4034.5264965308,3964.7936371571
BTC,2019-03-21T22:59:59.000Z,3974.8114294551,4026.5886511868,4053.5380561331,3904.8360844785
BTC,2019-03-22T22:59:59.000Z,3987.3052249052,3974.8112480503,4002.5323162845,3957.9443157726
BTC,2019-03-23T23:00:00.000Z,3977.707443288,3977.2760394493,4006.9845681341,3961.8024253806
BTC,2019-03-24T22:59:59.000Z,3968.4387009854,3977.707443288,3990.9652916493,3940.8797442035
BTC,2019-03-25T22:59:59.000Z,3913.7817170518,3972.696581974,3982.2327641875,3903.2939295524
BTC,2019-03-26T22:59:59.000Z,3915.3753197805,3913.7817424775,3928.9794272178,3876.7208578109
BTC,2019-03-27T23:00:00.000Z,4018.5905096995,3925.8653589823,4030.3576407268,3914.5777080645
BTC,2019-03-28T22:59:59.000Z,4008.3708718477,4018.5905096995,4033.3865237994,3990.0086156216
BTC,2019-03-29T23:00:00.000Z,4080.2601141916,4008.3710697461,4100.1491192074,4006.619168948
BTC,2019-03-30T23:00:00.000Z,4081.2216046987,4090.7504094242,4128.4151017141,4030.0612567554
BTC,2019-03-31T22:59:59.000Z,4094.7047913777,4081.2216046987,4104.5362539203,4073.2454564109
BTC,2019-04-01T22:59:58.000Z,4135.1849399747,4094.7047913777,4148.6617997836,4052.6016759166
BTC,2019-04-02T22:59:58.000Z,4818.7706353498,4135.182904792,4961.78030632,4132.5566599939
BTC,2019-04-03T22:59:58.000Z,5102.1507526415,4818.7735040301,5325.2338770174,4810.2449740699
BTC,2019-04-04T22:59:59.000Z,4875.5994313973,4966.9016298723,5071.5896135415,4787.7079940292
BTC,2019-04-05T22:59:59.000Z,5030.9332705867,4875.5961465511,5060.7032027976,4875.5961465511
BTC,2019-04-06T22:59:59.000Z,5028.3210819427,5032.7912392522,5229.9575509425,4934.2630443641
BTC,2019-04-07T22:59:59.000Z,5198.1731702888,5028.3202691679,5247.4649314366,5019.3333318063
